Type;FSWP-8;
15.1356105804;-135.3243865967;
15.3108730316;-135.2867279053;
15.4881677628;-135.0876464844;
15.6675128937;-134.7822418213;
15.8489332199;-134.3916778564;
16.0324554443;-134.2846069336;
16.2181015015;-134.4498291016;
16.4058990479;-134.7622528076;
16.5958709717;-135.1429290771;
16.7880401611;-135.4821777344;
16.9824371338;-135.6851806641;
17.1790847778;-135.7273559570;
17.3780078888;-135.6200408936;
17.5792369843;-135.5341949463;
17.7827949524;-135.5619049072;
17.9887084961;-135.6618041992;
18.1970081329;-135.8218994141;
18.4077186584;-136.0945892334;
18.6208705902;-136.2044982910;
18.8364906311;-136.0381927490;
19.0546054840;-135.5992279053;
19.2752475739;-135.3634033203;
19.4984436035;-135.5129089355;
19.7242259979;-136.1304016113;
19.9526214600;-136.7948760986;
20.1836605072;-136.9782562256;
20.4173774719;-136.8578338623;
20.6538047791;-136.6649780273;
20.8929634094;-136.6466522217;
21.1348934174;-136.7974243164;
21.3796234131;-136.9842987061;
21.6271877289;-137.0284729004;
21.8776187897;-136.9615325928;
22.1309490204;-136.8997955322;
22.3872127533;-136.9160156250;
22.6464443207;-136.9833068848;
22.9086780548;-137.0472412109;
23.1739463806;-137.2126770020;
23.4422893524;-137.7415313721;
23.7137374878;-138.2442016602;
23.9883289337;-138.5387268066;
24.2660999298;-138.6399383545;
24.5470886230;-138.6741638184;
24.8313293457;-138.8208923340;
25.1188621521;-138.9662475586;
25.4097251892;-138.9492797852;
25.7039566040;-138.9484405518;
26.0015926361;-139.1300659180;
26.3026771545;-139.1991271973;
26.6072483063;-139.1004638672;
26.9153442383;-139.0318145752;
27.2270088196;-138.4011077881;
27.5422897339;-136.6153106689;
27.8612155914;-135.4591522217;
28.1838321686;-135.7555084229;
28.5101852417;-136.6078033447;
28.8403167725;-136.8939056396;
29.1742725372;-137.3140869141;
29.5120944977;-138.3895111084;
29.8538284302;-139.4659271240;
30.1995182037;-138.6743164062;
30.5492115021;-138.9757690430;
30.9029541016;-139.1528167725;
31.2607936859;-139.3075866699;
31.6227760315;-139.3614044189;
31.9889507294;-139.3987731934;
32.3593635559;-139.4000091553;
32.7340698242;-139.3933105469;
33.1131095886;-139.3781585693;
33.4965438843;-139.3427276611;
33.8844146729;-139.2983245850;
34.2767753601;-139.2134857178;
34.6736831665;-139.1248016357;
35.0751838684;-139.0318756104;
35.4813346863;-138.9745483398;
35.8921890259;-138.9485473633;
36.3078002930;-139.0115051270;
36.7282333374;-139.1033325195;
37.1535263062;-139.2434234619;
37.5837440491;-139.3866119385;
38.0189437866;-139.5302581787;
38.4591827393;-139.6631469727;
38.9045181274;-139.8011016846;
39.3550109863;-139.9437713623;
39.8107185364;-140.1010894775;
40.2717056274;-140.2548217773;
40.7380294800;-140.4008331299;
41.2097511292;-140.5035552979;
41.6869392395;-140.5072784424;
42.1696510315;-140.3756561279;
42.6579513550;-139.9922943115;
43.1519050598;-139.2639312744;
43.6515808105;-138.4178466797;
44.1570434570;-137.5425567627;
44.6683578491;-136.8675689697;
45.1855926514;-136.5656890869;
45.7088165283;-136.6056365967;
46.2380981445;-136.9816131592;
46.7735099792;-137.6637878418;
47.3151206970;-138.3919067383;
47.8630027771;-138.7681579590;
48.4172286987;-138.7093200684;
48.9778900146;-138.3196563721;
49.5450248718;-137.9192657471;
50.1187286377;-137.9318847656;
50.6990776062;-138.4742584229;
51.2861442566;-139.4124298096;
51.8800086975;-140.5094299316;
52.4807510376;-141.4856109619;
53.0884475708;-142.1581878662;
53.7031822205;-142.5293579102;
54.3250350952;-142.6900024414;
54.9540901184;-142.6726379395;
55.5904273987;-142.5007324219;
56.2341308594;-142.2844848633;
56.8852920532;-142.1239471436;
57.5439910889;-142.0767822266;
58.2103195190;-142.1760101318;
58.8843612671;-142.3943786621;
59.5662117004;-142.6536102295;
60.2559547424;-142.7222900391;
60.9536857605;-142.6502990723;
61.6594963074;-142.5587310791;
62.3734779358;-142.5394287109;
63.0957260132;-142.5972900391;
63.8263397217;-142.6782836914;
64.5654144287;-142.7260284424;
65.3130645752;-142.7250366211;
66.0693511963;-142.6757965088;
66.8343963623;-142.4351196289;
67.6083068848;-142.0277404785;
68.3911743164;-141.5912017822;
69.1831054688;-140.4810638428;
69.9842071533;-138.0505371094;
70.7945785522;-134.9680328369;
71.6143417358;-131.5106353760;
72.4435958862;-130.3439331055;
73.2824554443;-131.0422363281;
74.1310272217;-132.7917022705;
74.9894180298;-136.3339691162;
75.8577575684;-139.4150543213;
76.7361450195;-140.2701263428;
77.6247100830;-140.5544891357;
78.5235595703;-140.3109741211;
79.4328155518;-140.0148925781;
80.3526077271;-139.4249725342;
81.2830429077;-138.6069946289;
82.2242584229;-137.9676971436;
83.1763687134;-137.3093566895;
84.1395034790;-137.2173309326;
85.1137924194;-137.8297424316;
86.0993652344;-138.7837829590;
87.0963668823;-138.6155700684;
88.1048965454;-136.0092926025;
89.1251068115;-133.1427764893;
90.1571197510;-132.2572479248;
91.2010955811;-133.2908477783;
92.2571487427;-134.3916473389;
93.3254394531;-135.1808929443;
94.4060897827;-138.2237854004;
95.4992599487;-141.6524658203;
96.6050872803;-142.9013366699;
97.7237243652;-142.9478454590;
98.8553085327;-142.6151733398;
100.0000000000;-141.3399810791;
101.1579742432;-141.7994995117;
102.3292999268;-142.0334472656;
103.5142440796;-142.0543518066;
104.7128524780;-141.9216613770;
105.9253921509;-141.7544097900;
107.1519241333;-141.6306762695;
108.3927154541;-141.5934143066;
109.6478118896;-141.6605072021;
110.9175033569;-141.9247283936;
112.2018356323;-142.2765502930;
113.5010986328;-142.7810974121;
114.8153457642;-143.3440246582;
116.1448745728;-143.9266510010;
117.4897384644;-144.4505004883;
118.8502349854;-144.8560638428;
120.2264251709;-145.1614685059;
121.6186141968;-145.2890014648;
123.0268554688;-145.3308868408;
124.4514694214;-145.3248443604;
125.8925170898;-145.2960357666;
127.3503112793;-145.2845153809;
128.8249206543;-145.2858123779;
130.3166809082;-145.2989654541;
131.8256378174;-145.3130950928;
133.3521423340;-145.3191070557;
134.8963165283;-145.3156738281;
136.4583129883;-145.3002014160;
138.0384674072;-145.2606353760;
139.6368255615;-145.1929473877;
141.2537841797;-145.1106262207;
142.8893890381;-145.0307006836;
144.5440063477;-144.9768371582;
146.2176971436;-144.9815979004;
147.9108581543;-145.0241851807;
149.6235504150;-145.0732727051;
151.3561553955;-145.1111145020;
153.1087188721;-145.1362762451;
154.8816833496;-145.1673583984;
156.6750793457;-145.2332305908;
158.4893341064;-145.3545074463;
160.3245086670;-145.5058746338;
162.1810302734;-145.6321258545;
164.0589447021;-145.6215820312;
165.9586944580;-145.3313598633;
167.8803710938;-144.7184295654;
169.8243713379;-143.9446868896;
171.7908020020;-143.3041229248;
173.7800903320;-143.0381164551;
175.7923126221;-143.2243347168;
177.8279418945;-143.4894714355;
179.8871459961;-144.1794281006;
181.9700775146;-144.8854064941;
184.0772399902;-145.4866485596;
186.2087097168;-146.1259765625;
188.3649444580;-146.4870300293;
190.5460662842;-146.5667114258;
192.7525329590;-146.5858001709;
194.9844360352;-146.5740966797;
197.2423095703;-146.5510864258;
199.5262145996;-146.5467681885;
201.8366699219;-146.5908508301;
204.1737670898;-146.6826171875;
206.5380401611;-146.8155670166;
208.9295806885;-146.8703155518;
211.3489227295;-146.8779144287;
213.7961730957;-146.8946075439;
216.2718658447;-146.9112243652;
218.7761230469;-146.8783874512;
221.3094787598;-146.8033142090;
223.8720703125;-146.7829589844;
226.4644470215;-146.8149261475;
229.0867156982;-146.9288940430;
231.7394714355;-147.0381774902;
234.4228210449;-147.0637512207;
237.1373748779;-146.9802703857;
239.8833618164;-146.8435516357;
242.6610107422;-146.8258972168;
245.4709472656;-146.9884033203;
248.3132934570;-147.2205352783;
251.1887054443;-147.3582611084;
254.0972595215;-147.4162750244;
257.0396423340;-147.4204254150;
260.0159301758;-147.4057617188;
263.0268554688;-147.4147033691;
266.0724792480;-147.4577178955;
269.1535339355;-147.4914245605;
272.2700805664;-147.4630889893;
275.4229125977;-147.3647003174;
278.6120605469;-147.2043304443;
281.8383178711;-146.5777587891;
285.1017761230;-145.3882293701;
288.4031677246;-144.3017272949;
291.7426452637;-144.3754577637;
295.1209411621;-145.5345306396;
298.5382080078;-146.7169036865;
301.9951782227;-146.9524688721;
305.4920349121;-147.1777038574;
309.0295410156;-147.3350677490;
312.6078491211;-147.4759979248;
316.2277526855;-147.5425262451;
319.8895874023;-147.5952606201;
323.5936584473;-147.6177062988;
327.3407592773;-147.6358642578;
331.1311035156;-147.6494293213;
334.9655151367;-147.6634063721;
338.8441467285;-147.6775817871;
342.7678527832;-147.6959533691;
346.7368164062;-147.7168426514;
350.7519226074;-147.7457580566;
354.8133544922;-147.7811889648;
358.9219970703;-147.8223724365;
363.0780029297;-147.8672943115;
367.2823486328;-147.9096527100;
371.5351867676;-147.9429016113;
375.8374328613;-147.9610443115;
380.1893310547;-147.9700775146;
384.5918273926;-147.9666442871;
389.0450744629;-147.9676208496;
393.5501098633;-147.9729156494;
398.1070861816;-147.9947509766;
402.7170410156;-148.0170135498;
407.3801879883;-148.0369720459;
412.0975341797;-148.0334625244;
416.8692626953;-148.0077514648;
421.6965026855;-147.9686584473;
426.5796203613;-147.9229278564;
431.5190734863;-147.8997039795;
436.5159301758;-147.9008636475;
441.5704345703;-147.9276123047;
446.6836853027;-147.9795379639;
451.8559265137;-148.0336303711;
457.0882873535;-148.0796966553;
462.3809814453;-148.1140594482;
467.7352294922;-148.1358642578;
473.1512145996;-148.1516418457;
478.6301574707;-148.1667785645;
484.1723022461;-148.1818084717;
489.7788696289;-148.1980590820;
495.4501037598;-148.2183074951;
501.1872863770;-148.2495422363;
506.9906311035;-148.2879791260;
512.8614501953;-148.3180084229;
518.7999267578;-148.3265533447;
524.8074951172;-148.3108520508;
530.8843383789;-148.2802124023;
537.0317993164;-148.2501220703;
543.2501831055;-148.2320404053;
549.5408935547;-148.2314147949;
555.9041137695;-148.2514648438;
562.3413085938;-148.2877655029;
568.8530883789;-148.3292999268;
575.4399414062;-148.3665771484;
582.1033325195;-148.3939819336;
588.8436279297;-148.4103851318;
595.6622924805;-148.4239807129;
602.5595703125;-148.4462738037;
609.5369873047;-148.4887542725;
616.5949707031;-148.5421295166;
623.7349243164;-148.5818176270;
630.9572753906;-148.5909423828;
638.2636108398;-148.5773773193;
645.6541137695;-148.5624084473;
653.1306152344;-148.5591278076;
660.6933593750;-148.5643463135;
668.3439941406;-148.5607757568;
676.0828857422;-148.5447387695;
683.9116821289;-148.5453643799;
691.8308105469;-148.5558776855;
699.8420410156;-148.5591735840;
707.9456176758;-148.5470581055;
716.1434326172;-148.5217742920;
724.4357910156;-148.4844970703;
732.8245239258;-148.4309082031;
741.3100585938;-148.3712310791;
749.8942260742;-148.3373107910;
758.5777587891;-148.3654479980;
767.3614501953;-148.4110717773;
776.2473144531;-148.5058135986;
785.2355957031;-148.5933990479;
794.3284301758;-148.6275024414;
803.5260620117;-148.6601562500;
812.8306884766;-148.6750335693;
822.2425537109;-148.6548156738;
831.7639160156;-148.5944519043;
841.3950195312;-148.5409545898;
851.1381835938;-148.4827728271;
860.9936523438;-148.4177856445;
870.9636840820;-148.4405059814;
881.0487670898;-148.5408172607;
891.2510375977;-148.6086730957;
901.5709838867;-148.6533660889;
912.0109252930;-148.7285919189;
922.5712280273;-148.7468566895;
933.2543334961;-148.6510467529;
944.0606689453;-148.5562133789;
954.9926147461;-148.5487365723;
966.0506591797;-148.5485382080;
977.2372436523;-148.5655822754;
988.5528564453;-148.6479339600;
1000.0000000000;-148.6209564209;
1011.5797119141;-148.6778259277;
1023.2929687500;-148.7250976562;
1035.1424560547;-148.7633056641;
1047.1285400391;-148.7792510986;
1059.2539062500;-148.7872314453;
1071.5192871094;-148.7767944336;
1083.9271240234;-148.7660522461;
1096.4781494141;-148.7549591064;
1109.1750488281;-148.7567443848;
1122.0183105469;-148.7644195557;
1135.0109863281;-148.7826690674;
1148.1534423828;-148.7980499268;
1161.4487304688;-148.8090209961;
1174.8973388672;-148.8003692627;
1188.5023193359;-148.7758941650;
1202.2642822266;-148.7404632568;
1216.1861572266;-148.6963958740;
1230.2685546875;-148.6615753174;
1244.5146484375;-148.6386566162;
1258.9251708984;-148.6391906738;
1273.5031738281;-148.6644897461;
1288.2492675781;-148.6992187500;
1303.1667480469;-148.7384185791;
1318.2563476562;-148.7643280029;
1333.5214843750;-148.7734985352;
1348.9632568359;-148.7716522217;
1364.5831298828;-148.7632446289;
1380.3846435547;-148.7593231201;
1396.3682861328;-148.7653198242;
1412.5378417969;-148.7785797119;
1428.8939208984;-148.7969360352;
1445.4400634766;-148.8174896240;
1462.1770019531;-148.8383941650;
1479.1086425781;-148.8593292236;
1496.2354736328;-148.8784790039;
1513.5615234375;-148.8925628662;
1531.0872802734;-148.8981475830;
1548.8167724609;-148.8936309814;
1566.7508544922;-148.8822937012;
1584.8933105469;-148.8750305176;
1603.2451171875;-148.8803253174;
1621.8101806641;-148.8960723877;
1640.5894775391;-148.9112854004;
1659.5870361328;-148.9133453369;
1678.8035888672;-148.8968353271;
1698.2437744141;-148.8663940430;
1717.9079589844;-148.8306427002;
1737.8009033203;-148.7936401367;
1757.9230957031;-148.7541046143;
1778.2794189453;-148.7291717529;
1798.8713378906;-148.6899566650;
1819.7008056641;-148.6677093506;
1840.7724609375;-148.6733856201;
1862.0870361328;-148.7241516113;
1883.6495361328;-148.7726593018;
1905.4605712891;-148.7826232910;
1927.5252685547;-148.7821960449;
1949.8444824219;-148.7837066650;
1972.4230957031;-148.7869720459;
1995.2620849609;-148.7769775391;
2018.3666992188;-148.7409820557;
2041.7376708984;-148.6873321533;
2065.3803710938;-148.6340942383;
2089.2958984375;-148.6358184814;
2113.4892578125;-148.6534881592;
2137.9616699219;-148.6692657471;
2162.7187500000;-148.6898193359;
2187.7612304688;-148.7407989502;
2213.0949707031;-148.7880096436;
2238.7207031250;-148.8045654297;
2264.6442871094;-148.8185882568;
2290.8671875000;-148.8481292725;
2317.3947753906;-148.8662872314;
2344.2282714844;-148.8602294922;
2371.3737792969;-148.8555450439;
2398.8334960938;-148.8800659180;
2426.6101074219;-148.9131011963;
2454.7094726562;-148.9705657959;
2483.1330566406;-149.0061950684;
2511.8869628906;-148.9587860107;
2540.9726562500;-148.8587341309;
2570.3962402344;-148.7904205322;
2600.1594238281;-148.8003234863;
2630.2685546875;-148.8674163818;
2660.7248535156;-148.9224700928;
2691.5351562500;-148.9615936279;
2722.7009277344;-148.9991455078;
2754.2290039062;-148.9811859131;
2786.1208496094;-148.8812408447;
2818.3833007812;-148.7629547119;
2851.0178222656;-148.7385864258;
2884.0317382812;-148.8109588623;
2917.4265136719;-148.8386688232;
2951.2094726562;-148.7817687988;
2985.3820800781;-148.7447204590;
3019.9519042969;-148.9488067627;
3054.9204101562;-148.9248962402;
3090.2954101562;-148.8994598389;
3126.0786132812;-148.8733215332;
3162.2775878906;-148.8439941406;
3198.8959960938;-148.8154602051;
3235.9365234375;-148.7886505127;
3273.4077148438;-148.7659759521;
3311.3110351562;-148.7477416992;
3349.6550292969;-148.7399291992;
3388.4414062500;-148.7367401123;
3427.6784667969;-148.7528991699;
3467.3681640625;-148.7738494873;
3507.5192871094;-148.8073883057;
3548.1335449219;-148.8404388428;
3589.2199707031;-148.8730621338;
3630.7800292969;-148.8913879395;
3672.8234863281;-148.9048461914;
3715.3518066406;-148.9099121094;
3758.3745117188;-148.9221343994;
3801.8933105469;-148.9400787354;
3845.9182128906;-148.9775543213;
3890.4506835938;-149.0165557861;
3935.5009765625;-149.0555114746;
3981.0708007812;-149.0689544678;
4027.1704101562;-149.0638275146;
4073.8017578125;-149.0431976318;
4120.9750976562;-149.0133514404;
4168.6928710938;-148.9946441650;
4216.9648437500;-148.9874725342;
4265.7963867188;-148.9978179932;
4315.1904296875;-149.0126953125;
4365.1591796875;-149.0171356201;
4415.7041015625;-149.0054168701;
4466.8369140625;-148.9661407471;
4518.5590820312;-148.9202117920;
4570.8828125000;-148.8910675049;
4623.8095703125;-148.8921051025;
4677.3520507812;-148.9372558594;
4731.5122070312;-149.0120391846;
4786.3017578125;-149.0713348389;
4841.7231445312;-149.1008453369;
4897.7890625000;-149.1000976562;
4954.5009765625;-149.0859680176;
5011.8730468750;-149.0908966064;
5069.9062500000;-149.1213836670;
5128.6142578125;-149.1563568115;
5187.9995117188;-149.1754455566;
5248.0747070312;-149.1680755615;
5308.8432617188;-149.1373443604;
5370.3183593750;-149.0949707031;
5432.5019531250;-149.0497436523;
5495.4086914062;-149.0042419434;
5559.0410156250;-148.9641876221;
5623.4130859375;-148.9382171631;
5688.5307617188;-148.9237365723;
5754.3994140625;-148.9066772461;
5821.0336914062;-148.8719024658;
5888.4365234375;-148.8160095215;
5956.6225585938;-148.7477111816;
6025.5957031250;-148.7318878174;
6095.3701171875;-148.7875366211;
6165.9497070312;-148.9028930664;
6237.3496093750;-149.0295715332;
6309.5727539062;-149.1181793213;
6382.6357421875;-149.1450195312;
6456.5415039062;-149.1113433838;
6531.3061523438;-149.0390625000;
6606.9335937500;-148.9697265625;
6683.4399414062;-148.9558105469;
6760.8286132812;-148.9990692139;
6839.1171875000;-148.9978027344;
6918.3081054688;-148.9625549316;
6998.4204101562;-148.9204406738;
7079.4560546875;-148.8943481445;
7161.4345703125;-148.9046783447;
7244.3579101562;-148.9300689697;
7328.2456054688;-148.9198455811;
7413.1005859375;-148.8922729492;
7498.9418945312;-148.8582153320;
7585.7778320312;-148.8487701416;
7673.6147460938;-148.8750152588;
7762.4731445312;-148.9574584961;
7852.3559570312;-149.0175323486;
7943.2841796875;-149.0161590576;
8035.2607421875;-149.0102386475;
8128.3066406250;-149.0325012207;
8222.4257812500;-149.0432739258;
8317.6396484375;-149.0534973145;
8413.9501953125;-149.0883636475;
8511.3818359375;-149.1195678711;
8609.9365234375;-149.1200561523;
8709.6367187500;-149.1240539551;
8810.4873046875;-149.1759948730;
8912.5107421875;-149.2562408447;
9015.7099609375;-149.2831726074;
9120.1093750000;-149.2702941895;
9225.7128906250;-149.2657775879;
9332.5439453125;-149.1988220215;
9440.6064453125;-149.0192260742;
9549.9267578125;-148.8874816895;
9660.5068359375;-148.7583923340;
9772.3720703125;-148.6306152344;
9885.5283203125;-148.6276092529;
10000.0000000000;-148.9555053711;
10115.7968750000;-148.9875183105;
10232.9355468750;-149.0266723633;
10351.4189453125;-149.0725708008;
10471.2851562500;-149.1198120117;
10592.5400390625;-149.1663513184;
10715.1982421875;-149.2043151855;
10839.2656250000;-149.2335510254;
10964.7812500000;-149.2522583008;
11091.7500000000;-149.2533111572;
11220.1894531250;-149.2474975586;
11350.1035156250;-149.2311706543;
11481.5351562500;-149.2120819092;
11614.4873046875;-149.1917877197;
11748.9804687500;-149.1726226807;
11885.0166015625;-149.1557464600;
12022.6425781250;-149.1408081055;
12161.8613281250;-149.1293029785;
12302.6923828125;-149.1184539795;
12445.1396484375;-149.1076507568;
12589.2509765625;-149.0960388184;
12735.0312500000;-149.0898132324;
12882.4990234375;-149.0940704346;
13031.6611328125;-149.1120910645;
13182.5634765625;-149.1541442871;
13335.2138671875;-149.2011108398;
13489.6328125000;-149.2403564453;
13645.8388671875;-149.2619323730;
13803.8388671875;-149.2516479492;
13963.6826171875;-149.2301788330;
14125.3789062500;-149.2146148682;
14288.9462890625;-149.2137451172;
14454.3925781250;-149.2315826416;
14621.7705078125;-149.2599945068;
14791.0869140625;-149.2778320312;
14962.3632812500;-149.2715606689;
15135.6064453125;-149.2317810059;
15310.8730468750;-149.1565246582;
15488.1679687500;-149.0552368164;
15667.5166015625;-148.9513092041;
15848.9248046875;-148.8805541992;
16032.4511718750;-148.8564453125;
16218.1025390625;-148.8766937256;
16405.9042968750;-148.9318237305;
16595.8613281250;-149.0081634521;
16788.0371093750;-149.0874328613;
16982.4375000000;-149.1483306885;
17179.0898437500;-149.1753845215;
17378.0000000000;-149.1691284180;
17579.2324218750;-149.1446228027;
17782.7949218750;-149.1277313232;
17988.7148437500;-149.1079864502;
18197.0175781250;-149.1054382324;
18407.7148437500;-149.1220703125;
18620.8710937500;-149.1590118408;
18836.4941406250;-149.1641387939;
19054.6171875000;-149.1279602051;
19275.2421875000;-149.0662231445;
19498.4433593750;-148.9954528809;
19724.2304687500;-148.9353485107;
19952.6328125000;-148.8994445801;
20183.6562500000;-148.8918914795;
20417.3769531250;-148.9116516113;
20653.8046875000;-148.9839172363;
20892.9687500000;-149.0637664795;
21134.8808593750;-149.0906219482;
21379.6171875000;-149.0932464600;
21627.1875000000;-149.0869598389;
21877.6230468750;-149.0771331787;
22130.9355468750;-149.0481872559;
22387.2070312500;-149.0145874023;
22646.4433593750;-148.9934082031;
22908.6835937500;-149.0377349854;
23173.9335937500;-149.1595611572;
23442.2812500000;-149.2641143799;
23713.7363281250;-149.4010314941;
23988.3359375000;-149.4639892578;
24266.1132812500;-149.4140319824;
24547.0820312500;-149.2296447754;
24831.3300781250;-149.0663452148;
25118.8691406250;-149.0630187988;
25409.7402343750;-149.1704406738;
25703.9492187500;-149.2989501953;
26001.5937500000;-149.3741302490;
26302.6835937500;-149.3592834473;
26607.2617187500;-149.2830352783;
26915.3378906250;-149.1771697998;
27227.0097656250;-149.0841522217;
27542.2910156250;-148.9882354736;
27861.2226562500;-148.8856658936;
28183.8164062500;-148.8588714600;
28510.1777343750;-148.9110107422;
28840.3183593750;-148.9693145752;
29174.2812500000;-149.0173339844;
29512.0781250000;-149.0565338135;
29853.8203125000;-149.0689392090;
30199.5175781250;-148.9912567139;
30549.2207031250;-148.9889373779;
30902.9375000000;-148.9778137207;
31260.7851562500;-148.9660644531;
31622.7773437500;-148.9513854980;
31988.9589843750;-148.9403076172;
32359.3828125000;-148.9371032715;
32734.0585937500;-148.9447937012;
33113.1093750000;-148.9640808105;
33496.5507812500;-148.9967498779;
33884.4335937500;-149.0353546143;
34276.7656250000;-149.0763397217;
34673.6835937500;-149.1134948730;
35075.1953125000;-149.1364288330;
35481.3554687500;-149.1442718506;
35892.1796875000;-149.1388397217;
36307.8007812500;-149.1166839600;
36728.2343750000;-149.0920104980;
37153.5390625000;-149.0667572021;
37583.7226562500;-149.0446624756;
38018.9335937500;-149.0237426758;
38459.1796875000;-148.9986724854;
38904.5273437500;-148.9713287354;
39354.9882812500;-148.9431304932;
39810.7070312500;-148.9340667725;
40271.7070312500;-148.9525909424;
40738.0390625000;-149.0000915527;
41209.7304687500;-149.1132354736;
41686.9257812500;-149.3043212891;
42169.6484375000;-149.5782928467;
42657.9648437500;-149.9811096191;
43151.9296875000;-150.4882202148;
43651.5703125000;-150.9188232422;
44157.0429687500;-151.1785430908;
44668.3671875000;-151.0027008057;
45185.6171875000;-150.5473327637;
45708.8046875000;-150.0594329834;
46238.0976562500;-149.6456604004;
46773.5234375000;-149.3945770264;
47315.1484375000;-149.3096313477;
47862.9921875000;-149.2912292480;
48417.2304687500;-149.3068847656;
48977.8867187500;-149.3305053711;
49545.0390625000;-149.3453521729;
50118.7031250000;-149.3419647217;
50699.0625000000;-149.3228302002;
51286.1445312500;-149.2943878174;
51880.0234375000;-149.2640686035;
52480.7187500000;-149.2400970459;
53088.4335937500;-149.2285003662;
53703.1835937500;-149.2294769287;
54325.0507812500;-149.2359619141;
54954.0585937500;-149.2379455566;
55590.4101562500;-149.2300720215;
56234.1328125000;-149.2168579102;
56885.3085937500;-149.2071990967;
57544.0234375000;-149.2062530518;
58210.3046875000;-149.2122650146;
58884.3632812500;-149.2199249268;
59566.2265625000;-149.2274780273;
60255.9882812500;-149.2352905273;
60953.6679687500;-149.2481079102;
61659.4960937500;-149.2618560791;
62373.4960937500;-149.2648925781;
63095.7617187500;-149.2514038086;
63826.3242187500;-149.2329864502;
64565.4140625000;-149.2302856445;
65313.0625000000;-149.2517395020;
66069.3671875000;-149.2822265625;
66834.3593750000;-149.2802276611;
67608.2890625000;-149.2075042725;
68391.1718750000;-149.1393585205;
69183.1250000000;-149.0928955078;
69984.1640625000;-149.0845947266;
70794.5625000000;-149.1042938232;
71614.3437500000;-149.1417083740;
72443.6171875000;-149.1885528564;
73282.4140625000;-149.2379760742;
74131.0078125000;-149.2874908447;
74989.4218750000;-149.3076171875;
75857.7812500000;-149.2552642822;
76736.1875000000;-149.1970367432;
77624.6875000000;-149.1344146729;
78523.5625000000;-149.0934753418;
79432.8437500000;-149.0769958496;
80352.6484375000;-149.1268463135;
81283.0234375000;-149.2546386719;
82224.2578125000;-149.3332672119;
83176.3906250000;-149.3444213867;
84139.5546875000;-149.2700805664;
85113.7734375000;-149.2089080811;
86099.3671875000;-149.2072143555;
87096.3671875000;-149.2469940186;
88104.9218750000;-149.2788696289;
89125.0546875000;-149.2848052979;
90157.1015625000;-149.2828674316;
91201.0937500000;-149.2925872803;
92257.1718750000;-149.3199462891;
93325.3828125000;-149.3294067383;
94406.0703125000;-149.2573852539;
95499.2656250000;-149.1876678467;
96605.1171875000;-149.1813507080;
97723.6718750000;-149.2335205078;
98855.2812500000;-149.2882385254;
100000.0000000000;-149.2778778076;
101157.9687500000;-149.2881774902;
102329.3515625000;-149.2952728271;
103514.1875000000;-149.2993469238;
104712.8515625000;-149.3032684326;
105925.3984375000;-149.3077697754;
107151.9843750000;-149.3173370361;
108392.6562500000;-149.3266754150;
109647.8125000000;-149.3357696533;
110917.5000000000;-149.3304901123;
112201.8984375000;-149.3160552979;
113501.0390625000;-149.2814331055;
114815.3437500000;-149.2382965088;
116144.8750000000;-149.1928863525;
117489.8046875000;-149.1600646973;
118850.1718750000;-149.1466064453;
120226.4218750000;-149.1480102539;
121618.6093750000;-149.1689758301;
123026.9218750000;-149.1879730225;
124451.3984375000;-149.2005615234;
125892.5156250000;-149.1959533691;
127350.3125000000;-149.1753997803;
128824.9921875000;-149.1528930664;
130316.6093750000;-149.1337585449;
131825.6406250000;-149.1364288330;
133352.1406250000;-149.1579437256;
134896.3281250000;-149.1908721924;
136458.3906250000;-149.2295379639;
138038.3906250000;-149.2614135742;
139636.8281250000;-149.2817077637;
141253.7812500000;-149.2943725586;
142889.4687500000;-149.3027801514;
144543.9218750000;-149.3111572266;
146217.7031250000;-149.3228912354;
147910.8593750000;-149.3336791992;
149623.6250000000;-149.3359222412;
151356.0625000000;-149.3233337402;
153108.7187500000;-149.2941894531;
154881.6875000000;-149.2546691895;
156675.1718750000;-149.2195129395;
158489.2500000000;-149.2063903809;
160324.5156250000;-149.2121887207;
162181.0312500000;-149.2243041992;
164059.0312500000;-149.2320556641;
165958.6093750000;-149.2354583740;
167880.3593750000;-149.2452239990;
169824.3750000000;-149.2731781006;
171790.8906250000;-149.3206329346;
173779.9843750000;-149.3757629395;
175792.3125000000;-149.4222564697;
177827.9375000000;-149.4437408447;
179887.1406250000;-149.4548034668;
181970.1875000000;-149.4402618408;
184077.1406250000;-149.4100189209;
186208.7031250000;-149.3841705322;
188364.9531250000;-149.3939208984;
190546.1562500000;-149.3832397461;
192752.4218750000;-149.3181915283;
194984.4375000000;-149.2029113770;
197242.3125000000;-149.0838470459;
199526.3125000000;-149.0164794922;
201836.5625000000;-149.0249176025;
204173.7656250000;-149.0886993408;
206538.0468750000;-149.1920318604;
208929.7031250000;-149.2548065186;
211348.8125000000;-149.2862548828;
213796.1718750000;-149.3279113770;
216271.8750000000;-149.3764343262;
218776.2343750000;-149.4274291992;
221309.3593750000;-149.4400024414;
223872.0625000000;-149.4312133789;
226464.4375000000;-149.4182281494;
229086.8281250000;-149.3983154297;
231739.3437500000;-149.3805999756;
234422.8125000000;-149.3562774658;
237137.3750000000;-149.2646636963;
239883.3593750000;-149.1532135010;
242661.1406250000;-149.1145324707;
245470.8125000000;-149.1450958252;
248313.2968750000;-149.2481231689;
